2104,3,3999
1600,3,3299
2400,3,3690
1416,2,2320
3000,4,5399
1985,4,2999
1534,3,3149
1427,3,1989
1380,3,2120
1494,3,2425
1940,4,2399
2000,3,3470
1890,3,3299
4478,5,6999
1268,3,2599
2300,4,4499
1320,2,2999
1236,3,1999
2609,4,4999
3031,4,5990
1767,3,2529
1888,2,2550
1604,3,2429
1962,4,2599
3890,3,5739
1100,3,2499
1458,3,4645
2526,3,4690
2200,3,4750
2637,3,2999
1839,2,3499
1000,1,1699
2040,4,3149
3137,3,5799
1811,4,2859
1437,3,2499
1239,3,2299
2132,4,3450
4215,4,5490
2162,4,2870
1664,2,3685
2238,3,3299
2567,4,3140
1200,3,2990
852,2,1799
1852,4,2999
1203,3,2395
